	word_ortho	number_syllables	word_q1	onset_q1	coda_q1	word_q2	onset_q2	coda_q2
62	авиолинија	6	V-O-V-V-L-V-N-V-J-V	V	V	V-O-V-V-S-V-S-V-S-V	V	V
63	авиомеханичар	7	V-O-V-V-N-V-O-V-N-V-O-V-R	V	R	V-O-V-V-S-V-O-V-S-V-O-V-S	V	S
64	авион	3	V-O-V-V-N	V	N	V-O-V-V-S	V	S
65	авиопревозник	6	V-O-V-V-O-R-V-O-V-O-N-V-O	V	O	V-O-V-V-O-S-V-O-V-O-S-V-O	V	O
66	авитаминоза	6	V-O-V-O-V-N-V-N-V-O-V	V	V	V-O-V-O-V-S-V-S-V-O-V	V	V
67	авитаминозен	6	V-O-V-O-V-N-V-N-V-O-V-N	V	N	V-O-V-O-V-S-V-S-V-O-V-S	V	S
68	авка	2	V-O-O-V	V	V	V-O-O-V	V	V
69	авлија	3	V-O-L-V-J-V	V	V	V-O-S-V-S-V	V	V
70	авокадо	4	V-O-V-O-V-O-V	V	V	V-O-V-O-V-O-V	V	V
71	авра	2	V-O-R-V	V	V	V-O-S-V	V	V
72	Австралија	4	V-O-O-O-R-V-L-V-J-V	V	V	V-O-O-O-S-V-S-V-S-V	V	V
73	австралиски	4	V-O-O-O-R-V-L-V-O-O-V	V	V	V-O-O-O-S-V-S-V-O-O-V	V	V
74	Австрија	3	V-O-O-O-R-V-J-V	V	V	V-O-O-O-S-V-S-V	V	V
75	австриски	3	V-O-O-O-R-V-O-O-V	V	V	V-O-O-O-S-V-O-O-V	V	V
76	австроунгарски	5	V-O-O-O-R-V-V-N-O-V-R-O-O-V	V	V	V-O-O-O-S-V-V-S-O-V-S-O-O-V	V	V
77	автаркија	4	V-O-O-V-R-O-V-J-V	V	V	V-O-O-V-S-O-V-S-V	V	V
78	автаркичен	4	V-O-O-V-R-O-V-O-V-N	V	N	V-O-O-V-S-O-V-O-V-S	V	S
79	автарх	2	V-O-O-V-R-O	V	R-O	V-O-O-V-S-O	V	S-O
80	автархија	4	V-O-O-V-R-O-V-J-V	V	V	V-O-O-V-S-O-V-S-V	V	V
81	автархиски	4	V-O-O-V-R-O-V-O-O-V	V	V	V-O-O-V-S-O-V-O-O-V	V	V
82	автархичен	4	V-O-O-V-R-O-V-O-V-N	V	N	V-O-O-V-S-O-V-O-V-S	V	S
83	автентикација	6	V-O-O-V-N-O-V-O-V-O-V-J-V	V	V	V-O-O-V-S-O-V-O-V-O-V-S-V	V	V
84	автентицира	5	V-O-O-V-N-O-V-O-V-R-V	V	V	V-O-O-V-S-O-V-O-V-S-V	V	V
85	автентичен	4	V-O-O-V-N-O-V-O-V-N	V	N	V-O-O-V-S-O-V-O-V-S	V	S
86	авто	2	V-O-O-V	V	V	V-O-O-V	V	V
87	автоанализа	6	V-O-O-V-V-N-V-L-V-O-V	V	V	V-O-O-V-V-S-V-S-V-O-V	V	V
88	автобиографија	7	V-O-O-V-O-V-V-O-R-V-O-V-J-V	V	V	V-O-O-V-O-V-V-O-S-V-O-V-S-V	V	V
89	автобус	3	V-O-O-V-O-V-O	V	O	V-O-O-V-O-V-O	V	O
90	автогаража	5	V-O-O-V-O-V-R-V-O-V	V	V	V-O-O-V-O-V-S-V-O-V	V	V
91	автогол	3	V-O-O-V-O-V-L	V	L	V-O-O-V-O-V-S	V	S
92	автограм	3	V-O-O-V-O-R-V-N	V	N	V-O-O-V-O-S-V-S	V	S
93	автограф	3	V-O-O-V-O-R-V-O	V	O	V-O-O-V-O-S-V-O	V	O
94	автодидакт	4	V-O-O-V-O-V-O-V-O-O	V	O-O	V-O-O-V-O-V-O-V-O-O	V	O-O
95	автодидактика	6	V-O-O-V-O-V-O-V-O-O-V-O-V	V	V	V-O-O-V-O-V-O-V-O-O-V-O-V	V	V
96	автодром	3	V-O-O-V-O-R-V-N	V	N	V-O-O-V-O-S-V-S	V	S
97	автоелектричар	6	V-O-O-V-V-L-V-O-O-R-V-O-V-R	V	R	V-O-O-V-V-S-V-O-O-S-V-O-V-S	V	S
98	автоимун	4	V-O-O-V-V-N-V-N	V	N	V-O-O-V-V-S-V-S	V	S
99	автокамп	3	V-O-O-V-O-V-N-O	V	N-O	V-O-O-V-O-V-S-O	V	S-O
100	автокефален	5	V-O-O-V-O-V-O-V-L-V-N	V	N	V-O-O-V-O-V-O-V-S-V-S	V	S
101	автокефалија	6	V-O-O-V-O-V-O-V-L-V-J-V	V	V	V-O-O-V-O-V-O-V-S-V-S-V	V	V
102	автокефалност	5	V-O-O-V-O-V-O-V-L-N-V-O-O	V	O-O	V-O-O-V-O-V-O-V-S-S-V-O-O	V	O-O
103	автоклуб	3	V-O-O-V-O-L-V-O	V	O	V-O-O-V-O-S-V-O	V	O
104	автокоманда	5	V-O-O-V-O-V-N-V-N-O-V	V	V	V-O-O-V-O-V-S-V-S-O-V	V	V
105	автократ	3	V-O-O-V-O-R-V-O	V	O	V-O-O-V-O-S-V-O	V	O
106	автократизам	5	V-O-O-V-O-R-V-O-V-O-V-N	V	N	V-O-O-V-O-S-V-O-V-O-V-S	V	S
107	автократија	5	V-O-O-V-O-R-V-O-V-J-V	V	V	V-O-O-V-O-S-V-O-V-S-V	V	V
108	автолимар	4	V-O-O-V-L-V-N-V-R	V	R	V-O-O-V-S-V-S-V-S	V	S
109	автомат	3	V-O-O-V-N-V-O	V	O	V-O-O-V-S-V-O	V	O
110	автоматизам	5	V-O-O-V-N-V-O-V-O-V-N	V	N	V-O-O-V-S-V-O-V-O-V-S	V	S
111	автоматизација	7	V-O-O-V-N-V-O-V-O-V-O-V-J-V	V	V	V-O-O-V-S-V-O-V-O-V-O-V-S-V	V	V
112	автоматизира	6	V-O-O-V-N-V-O-V-O-V-R-V	V	V	V-O-O-V-S-V-O-V-O-V-S-V	V	V
113	автоматизиран	6	V-O-O-V-N-V-O-V-O-V-R-V-N	V	N	V-O-O-V-S-V-O-V-O-V-S-V-S	V	S
114	автоматски	4	V-O-O-V-N-V-O-O-O-V	V	V	V-O-O-V-S-V-O-O-O-V	V	V
115	автоматски	4	V-O-O-V-N-V-O-O-O-V	V	V	V-O-O-V-S-V-O-O-O-V	V	V
116	автомеханика	6	V-O-O-V-N-V-O-V-N-V-O-V	V	V	V-O-O-V-S-V-O-V-S-V-O-V	V	V
117	автомеханичар	6	V-O-O-V-N-V-O-V-N-V-O-V-R	V	R	V-O-O-V-S-V-O-V-S-V-O-V-S	V	S
118	автомобил	4	V-O-O-V-N-V-O-V-L	V	L	V-O-O-V-S-V-O-V-S	V	S
119	автомобилизам	6	V-O-O-V-N-V-O-V-L-V-O-V-N	V	N	V-O-O-V-S-V-O-V-S-V-O-V-S	V	S
120	автомобилист	5	V-O-O-V-N-V-O-V-L-V-O-O	V	O-O	V-O-O-V-S-V-O-V-S-V-O-O	V	O-O
121	автономен	4	V-O-O-V-N-V-N-V-N	V	N	V-O-O-V-S-V-S-V-S	V	S
122	автономизам	5	V-O-O-V-N-V-N-V-O-V-N	V	N	V-O-O-V-S-V-S-V-O-V-S	V	S
123	автономизира	6	V-O-O-V-N-V-N-V-O-V-R-V	V	V	V-O-O-V-S-V-S-V-O-V-S-V	V	V
124	автономија	5	V-O-O-V-N-V-N-V-J-V	V	V	V-O-O-V-S-V-S-V-S-V	V	V
125	автономист	4	V-O-O-V-N-V-N-V-O-O	V	O-O	V-O-O-V-S-V-S-V-O-O	V	O-O
126	автопаркинг	4	V-O-O-V-O-V-R-O-V-N-O	V	N-O	V-O-O-V-O-V-S-O-V-S-O	V	S-O
127	автопат	3	V-O-O-V-O-V-O	V	O	V-O-O-V-O-V-O	V	O
128	автопералница	6	V-O-O-V-O-V-R-V-L-N-V-O-V	V	V	V-O-O-V-O-V-S-V-S-S-V-O-V	V	V
129	автопортрет	4	V-O-O-V-O-V-R-O-R-V-O	V	O	V-O-O-V-O-V-S-O-S-V-O	V	O
130	автопревозник	5	V-O-O-V-O-R-V-O-V-O-N-V-O	V	O	V-O-O-V-O-S-V-O-V-O-S-V-O	V	O
131	автоприколка	5	V-O-O-V-O-R-V-O-V-L-O-V	V	V	V-O-O-V-O-S-V-O-V-S-O-V	V	V
132	автор	2	V-O-O-V-R	V	R	V-O-O-V-S	V	S
133	авторемонт	4	V-O-O-V-R-V-N-V-N-O	V	N-O	V-O-O-V-S-V-S-V-S-O	V	S-O
134	авторизација	6	V-O-O-V-R-V-O-V-O-V-J-V	V	V	V-O-O-V-S-V-O-V-O-V-S-V	V	V
135	авторизира	5	V-O-O-V-R-V-O-V-R-V	V	V	V-O-O-V-S-V-O-V-S-V	V	V
136	авторизиран	5	V-O-O-V-R-V-O-V-R-V-N	V	N	V-O-O-V-S-V-O-V-S-V-S	V	S
137	авторитарен	5	V-O-O-V-R-V-O-V-R-V-N	V	N	V-O-O-V-S-V-O-V-S-V-S	V	S
138	авторитативен	6	V-O-O-V-R-V-O-V-O-V-O-V-N	V	N	V-O-O-V-S-V-O-V-O-V-O-V-S	V	S
139	авторитет	4	V-O-O-V-R-V-O-V-O	V	O	V-O-O-V-S-V-O-V-O	V	O
140	авторитетен	5	V-O-O-V-R-V-O-V-O-V-N	V	N	V-O-O-V-S-V-O-V-O-V-S	V	S
141	авторов	3	V-O-O-V-R-V-O	V	O	V-O-O-V-S-V-O	V	O
142	авторски	3	V-O-O-V-R-O-O-V	V	V	V-O-O-V-S-O-O-V	V	V
143	авторство	3	V-O-O-V-R-O-O-O-V	V	V	V-O-O-V-S-O-O-O-V	V	V
144	автосервис	4	V-O-O-V-O-V-R-O-V-O	V	O	V-O-O-V-O-V-S-O-V-O	V	O
145	автостоп	3	V-O-O-V-O-O-V-O	V	O	V-O-O-V-O-O-V-O	V	O
146	автостопер	4	V-O-O-V-O-O-V-O-V-R	V	R	V-O-O-V-O-O-V-O-V-S	V	S
147	автостопира	5	V-O-O-V-O-O-V-O-V-R-V	V	V	V-O-O-V-O-O-V-O-V-S-V	V	V
148	автострада	4	V-O-O-V-O-O-R-V-O-V	V	V	V-O-O-V-O-O-S-V-O-V	V	V
149	автосугестивен	6	V-O-O-V-O-V-O-V-O-O-V-O-V-N	V	N	V-O-O-V-O-V-O-V-O-O-V-O-V-S	V	S
150	автосугестија	6	V-O-O-V-O-V-O-V-O-O-V-J-V	V	V	V-O-O-V-O-V-O-V-O-O-V-S-V	V	V
151	автотранспорт	4	V-O-O-V-O-R-V-N-O-O-V-R-O	V	R-O	V-O-O-V-O-S-V-S-O-O-V-S-O	V	S-O
152	автотранспортен	5	V-O-O-V-O-R-V-N-O-O-V-R-O-V-N	V	N	V-O-O-V-O-S-V-S-O-O-V-S-O-V-S	V	S
153	автохипноза	5	V-O-O-V-O-V-O-N-V-O-V	V	V	V-O-O-V-O-V-O-S-V-O-V	V	V
154	автохтон	3	V-O-O-V-O-O-V-N	V	N	V-O-O-V-O-O-V-S	V	S
155	автоцензура	5	V-O-O-V-O-V-N-O-V-R-V	V	V	V-O-O-V-O-V-S-O-V-S-V	V	V
156	ага	2	V-O-V	V	V	V-O-V	V	V
157	агалак	3	V-O-V-L-V-O	V	O	V-O-V-S-V-O	V	O
158	агале	3	V-O-V-L-V	V	V	V-O-V-S-V	V	V
159	агенда	3	V-O-V-N-O-V	V	V	V-O-V-S-O-V	V	V
160	агенс	2	V-O-V-N-O	V	N-O	V-O-V-S-O	V	S-O
161	агент	2	V-O-V-N-O	V	N-O	V-O-V-S-O	V	S-O
162	агентура	4	V-O-V-N-O-V-R-V	V	V	V-O-V-S-O-V-S-V	V	V
163	агенција	4	V-O-V-N-O-V-J-V	V	V	V-O-V-S-O-V-S-V	V	V
164	агилен	3	V-O-V-L-V-N	V	N	V-O-V-S-V-S	V	S
165	агин	2	V-O-V-N	V	N	V-O-V-S	V	S
166	агинка	3	V-O-V-N-O-V	V	V	V-O-V-S-O-V	V	V
167	агитатор	4	V-O-V-O-V-O-V-R	V	R	V-O-V-O-V-O-V-S	V	S
168	агитација	5	V-O-V-O-V-O-V-J-V	V	V	V-O-V-O-V-O-V-S-V	V	V
169	агитира	4	V-O-V-O-V-R-V	V	V	V-O-V-O-V-S-V	V	V
170	агитпроп	3	V-O-V-O-O-R-V-O	V	O	V-O-V-O-O-S-V-O	V	O
171	агитпроповски	5	V-O-V-O-O-R-V-O-V-O-O-O-V	V	V	V-O-V-O-O-S-V-O-V-O-O-O-V	V	V
172	агица	3	V-O-V-O-V	V	V	V-O-V-O-V	V	V
173	аглест	2	V-O-L-V-O-O	V	O-O	V-O-S-V-O-O	V	O-O
174	агломер	3	V-O-L-V-N-V-R	V	R	V-O-S-V-S-V-S	V	S
175	агломерат	4	V-O-L-V-N-V-R-V-O	V	O	V-O-S-V-S-V-S-V-O	V	O
176	агломерација	6	V-O-L-V-N-V-R-V-O-V-J-V	V	V	V-O-S-V-S-V-S-V-O-V-S-V	V	V
177	аглутинација	6	V-O-L-V-O-V-N-V-O-V-J-V	V	V	V-O-S-V-O-V-S-V-O-V-S-V	V	V
178	агностик	3	V-O-N-V-O-O-V-O	V	O	V-O-S-V-O-O-V-O	V	O
179	агностика	4	V-O-N-V-O-O-V-O-V	V	V	V-O-S-V-O-O-V-O-V	V	V
180	агностицизам	5	V-O-N-V-O-O-V-O-V-O-V-N	V	N	V-O-S-V-O-O-V-O-V-O-V-S	V	S
181	агов	2	V-O-V-O	V	O	V-O-V-O	V	O
182	аговина	4	V-O-V-O-V-N-V	V	V	V-O-V-O-V-S-V	V	V
183	аговски	3	V-O-V-O-O-O-V	V	V	V-O-V-O-O-O-V	V	V
184	агол	2	V-O-V-L	V	L	V-O-V-S	V	S
185	аголен	3	V-O-V-L-V-N	V	N	V-O-V-S-V-S	V	S
186	агонија	4	V-O-V-N-V-J-V	V	V	V-O-V-S-V-S-V	V	V
187	агора	3	V-O-V-R-V	V	V	V-O-V-S-V	V	V
188	агравација	5	V-O-R-V-O-V-O-V-J-V	V	V	V-O-S-V-O-V-O-V-S-V	V	V
189	аграр	2	V-O-R-V-R	V	R	V-O-S-V-S	V	S
190	аграрен	3	V-O-R-V-R-V-N	V	N	V-O-S-V-S-V-S	V	S
191	агрегат	3	V-O-R-V-O-V-O	V	O	V-O-S-V-O-V-O	V	O
192	агрегатен	4	V-O-R-V-O-V-O-V-N	V	N	V-O-S-V-O-V-O-V-S	V	S
193	агреман	3	V-O-R-V-N-V-N	V	N	V-O-S-V-S-V-S	V	S
194	агресивен	4	V-O-R-V-O-V-O-V-N	V	N	V-O-S-V-O-V-O-V-S	V	S
195	агресивец	4	V-O-R-V-O-V-O-V-O	V	O	V-O-S-V-O-V-O-V-O	V	O
196	агресија	4	V-O-R-V-O-V-J-V	V	V	V-O-S-V-O-V-S-V	V	V
197	агресор	3	V-O-R-V-O-V-R	V	R	V-O-S-V-O-V-S	V	S
198	агри	2	V-O-R-V	V	V	V-O-S-V	V	V
199	агрикултура	5	V-O-R-V-O-V-L-O-V-R-V	V	V	V-O-S-V-O-V-S-O-V-S-V	V	V
200	агро	2	V-O-R-V	V	V	V-O-S-V	V	V
201	агробизнис	4	V-O-R-V-O-V-O-N-V-O	V	O	V-O-S-V-O-V-O-S-V-O	V	O
202	агрокомбинат	5	V-O-R-V-O-V-N-O-V-N-V-O	V	O	V-O-S-V-O-V-S-O-V-S-V-O	V	O
203	агроном	3	V-O-R-V-N-V-N	V	N	V-O-S-V-S-V-S	V	S
204	агрономија	5	V-O-R-V-N-V-N-V-J-V	V	V	V-O-S-V-S-V-S-V-S-V	V	V
205	агротехника	5	V-O-R-V-O-V-O-N-V-O-V	V	V	V-O-S-V-O-V-O-S-V-O-V	V	V
206	агруми	3	V-O-R-V-N-V	V	V	V-O-S-V-S-V	V	V
207	агува	3	V-O-V-O-V	V	V	V-O-V-O-V	V	V
208	ад	1	V-O	V	O	V-O	V	O
209	ада	2	V-O-V	V	V	V-O-V	V	V
210	адам	2	V-O-V-N	V	N	V-O-V-S	V	S
211	адамов	3	V-O-V-N-V-O	V	O	V-O-V-S-V-O	V	O
212	адаптабилен	5	V-O-V-O-O-V-O-V-L-V-N	V	N	V-O-V-O-O-V-O-V-S-V-S	V	S
213	адаптација	5	V-O-V-O-O-V-O-V-J-V	V	V	V-O-V-O-O-V-O-V-S-V	V	V
214	адаптер	3	V-O-V-O-O-V-R	V	R	V-O-V-O-O-V-S	V	S
215	адаптерски	4	V-O-V-O-O-V-R-O-O-V	V	V	V-O-V-O-O-V-S-O-O-V	V	V
216	адаптира	4	V-O-V-O-O-V-R-V	V	V	V-O-V-O-O-V-S-V	V	V
217	адаптиран	4	V-O-V-O-O-V-R-V-N	V	N	V-O-V-O-O-V-S-V-S	V	S
218	адаџо	3	V-O-V-O-V	V	V	V-O-V-O-V	V	V
219	адвент	2	V-O-O-V-N-O	V	N-O	V-O-O-V-S-O	V	S-O
220	адвентизам	4	V-O-O-V-N-O-V-O-V-N	V	N	V-O-O-V-S-O-V-O-V-S	V	S
221	адвентист	3	V-O-O-V-N-O-V-O-O	V	O-O	V-O-O-V-S-O-V-O-O	V	O-O
222	адверб	2	V-O-O-V-R-O	V	R-O	V-O-O-V-S-O	V	S-O
223	адвербијален	5	V-O-O-V-R-O-V-J-V-L-V-N	V	N	V-O-O-V-S-O-V-S-V-S-V-S	V	S
224	адвокат	3	V-O-O-V-O-V-O	V	O	V-O-O-V-O-V-O	V	O
225	адвокатува	5	V-O-O-V-O-V-O-V-O-V	V	V	V-O-O-V-O-V-O-V-O-V	V	V
226	адвокатура	5	V-O-O-V-O-V-O-V-R-V	V	V	V-O-O-V-O-V-O-V-S-V	V	V
227	адекватен	4	V-O-V-O-O-V-O-V-N	V	N	V-O-V-O-O-V-O-V-S	V	S
228	адет	2	V-O-V-O	V	O	V-O-V-O	V	O
229	адикција	4	V-O-V-O-O-V-J-V	V	V	V-O-V-O-O-V-S-V	V	V
230	адитив	3	V-O-V-O-V-O	V	O	V-O-V-O-V-O	V	O
231	адитивен	4	V-O-V-O-V-O-V-N	V	N	V-O-V-O-V-O-V-S	V	S
232	адјектив	3	V-O-J-V-O-O-V-O	V	O	V-O-S-V-O-O-V-O	V	O
233	адјункт	2	V-O-J-V-N-O-O	V	N-O-O	V-O-S-V-S-O-O	V	S-O-O
234	административен	6	V-O-N-V-N-V-O-O-R-V-O-V-O-V-N	V	N	V-O-S-V-S-V-O-O-S-V-O-V-O-V-S	V	S
235	административец	6	V-O-N-V-N-V-O-O-R-V-O-V-O-V-O	V	O	V-O-S-V-S-V-O-O-S-V-O-V-O-V-O	V	O
236	администратор	5	V-O-N-V-N-V-O-O-R-V-O-V-R	V	R	V-O-S-V-S-V-O-O-S-V-O-V-S	V	S
237	администрација	6	V-O-N-V-N-V-O-O-R-V-O-V-J-V	V	V	V-O-S-V-S-V-O-O-S-V-O-V-S-V	V	V
238	администрира	5	V-O-N-V-N-V-O-O-R-V-R-V	V	V	V-O-S-V-S-V-O-O-S-V-S-V	V	V
239	адмирал	3	V-O-N-V-R-V-L	V	L	V-O-S-V-S-V-S	V	S
240	адмиралитет	5	V-O-N-V-R-V-L-V-O-V-O	V	O	V-O-S-V-S-V-S-V-O-V-O	V	O
241	адолесцент	4	V-O-V-L-V-O-O-V-N-O	V	N-O	V-O-V-S-V-O-O-V-S-O	V	S-O
242	адолесценција	6	V-O-V-L-V-O-O-V-N-O-V-J-V	V	V	V-O-V-S-V-O-O-V-S-O-V-S-V	V	V
243	адреналин	4	V-O-R-V-N-V-L-V-N	V	N	V-O-S-V-S-V-S-V-S	V	S
244	адреса	3	V-O-R-V-O-V	V	V	V-O-S-V-O-V	V	V
245	адресант	3	V-O-R-V-O-V-N-O	V	N-O	V-O-S-V-O-V-S-O	V	S-O
246	адресар	3	V-O-R-V-O-V-R	V	R	V-O-S-V-O-V-S	V	S
247	адресат	3	V-O-R-V-O-V-O	V	O	V-O-S-V-O-V-O	V	O
248	адресира	4	V-O-R-V-O-V-R-V	V	V	V-O-S-V-O-V-S-V	V	V
249	адут	2	V-O-V-O	V	O	V-O-V-O	V	O
250	аѓутант	3	V-O-V-O-V-N-O	V	N-O	V-O-V-O-V-S-O	V	S-O
251	аѓутантство	4	V-O-V-O-V-N-O-O-O-O-V	V	V	V-O-V-O-V-S-O-O-O-O-V	V	V
252	аеро	3	V-V-R-V	V	V	V-V-S-V	V	V
253	аеробатика	6	V-V-R-V-O-V-O-V-O-V	V	V	V-V-S-V-O-V-O-V-O-V	V	V
254	аеробик	4	V-V-R-V-O-V-O	V	O	V-V-S-V-O-V-O	V	O
255	аеродинамика	7	V-V-R-V-O-V-N-V-N-V-O-V	V	V	V-V-S-V-O-V-S-V-S-V-O-V	V	V
256	аеродинамичен	7	V-V-R-V-O-V-N-V-N-V-O-V-N	V	N	V-V-S-V-O-V-S-V-S-V-O-V-S	V	S
257	аеродром	4	V-V-R-V-O-R-V-N	V	N	V-V-S-V-O-S-V-S	V	S
258	аерозагадување	8	V-V-R-V-O-V-O-V-O-V-O-V-N-V	V	V	V-V-S-V-O-V-O-V-O-V-O-V-S-V	V	V
259	аероклуб	4	V-V-R-V-O-L-V-O	V	O	V-V-S-V-O-S-V-O	V	O
260	аеролит	4	V-V-R-V-L-V-O	V	O	V-V-S-V-S-V-O	V	O
261	аерометар	5	V-V-R-V-N-V-O-V-R	V	R	V-V-S-V-S-V-O-V-S	V	S
262	аеромеханика	7	V-V-R-V-N-V-O-V-N-V-O-V	V	V	V-V-S-V-S-V-O-V-S-V-O-V	V	V
263	аеромитинг	5	V-V-R-V-N-V-O-V-N-O	V	N-O	V-V-S-V-S-V-O-V-S-O	V	S-O
264	аеронаут	5	V-V-R-V-N-V-V-O	V	O	V-V-S-V-S-V-V-O	V	O
265	аеронаутика	7	V-V-R-V-N-V-V-O-V-O-V	V	V	V-V-S-V-S-V-V-O-V-O-V	V	V
